PM10,PM25,SO2,CO,O3,NO2,kategori
59,79,21,26,15,31,1
23,33,19,11,14,19,0
29,36,20,14,12,21,0
25,23,19,7,19,12,0
33,40,22,12,14,22,0
32,38,21,10,12,16,0
26,37,23,13,9,17,0
25,37,20,9,19,16,0
33,47,18,11,19,19,0
39,57,23,23,12,33,1
43,59,29,13,12,29,1
50,64,22,11,20,23,1
30,42,22,10,9,16,0
31,48,26,12,14,17,0
49,67,23,15,17,31,1
43,60,19,12,19,18,1
30,42,38,4,55,15,1
24,35,38,4,42,15,0
33,50,39,7,47,15,0
25,35,39,5,45,13,0
33,50,39,6,47,16,0
34,46,39,4,49,10,0
33,49,43,6,35,11,0
43,62,43,14,33,11,1
27,47,38,8,40,11,0
34,53,40,11,42,14,1
41,61,40,25,41,27,1
32,51,42,16,41,20,1
48,61,40,9,54,17,1
30,39,40,10,33,10,0
30,45,43,12,45,12,0
59,71,44,15,50,20,1
73,110,28,18,26,18,2
53,70,25,10,27,14,1
32,53,27,6,24,9,1
29,54,26,11,24,13,1
34,53,24,8,32,12,1
26,42,24,9,35,12,0
33,53,25,9,23,12,1
38,57,23,6,18,7,1
63,98,25,13,20,8,1
59,89,26,12,30,13,1
55,73,25,11,35,13,1
40,62,24,9,32,12,1
36,51,24,9,34,15,1
28,51,25,13,23,14,1
45,59,25,13,29,15,1
29,42,24,7,30,9,0
68,103,26,22,30,14,2
66,90,26,12,29,16,1
27,54,25,6,24,7,1
50,73,27,10,41,16,1
37,59,40,14,22,12,1
38,53,29,6,31,13,1
27,46,27,7,47,7,0
44,58,25,7,40,13,1
38,53,24,6,31,9,1
35,47,22,6,39,10,0
47,61,16,27,22,12,1
38,54,17,14,27,10,1
34,44,17,13,20,9,0
52,73,15,17,25,14,1
40,52,16,11,26,12,1
35,34,12,12,22,13,0
43,51,13,14,28,15,1
72,108,14,43,44,20,2
56,82,13,29,62,15,1
52,70,14,19,28,13,1
27,41,14,18,17,11,0
30,53,16,17,24,11,1
27,37,13,16,24,12,0
38,58,2,11,65,6,1
24,39,13,10,59,14,1
35,54,13,12,68,13,1
27,51,15,7,77,15,1
33,44,13,10,68,7,1
28,49,11,6,65,11,1
42,60,11,14,65,12,1
42,45,11,6,72,6,1
62,86,14,26,134,14,2
21,29,25,7,63,5,1
28,49,25,10,53,7,1
27,39,25,10,64,8,1
43,56,15,10,33,5,1
64,93,14,20,35,5,1
50,67,13,15,17,4,1
59,89,15,19,42,7,1
52,81,18,28,52,11,1
22,52,16,12,44,5,1
25,77,17,32,31,8,1
15,33,16,7,23,4,0
29,78,20,14,40,8,1
24,82,19,16,64,6,1
70,92,19,16,60,7,1
58,86,22,11,43,9,1
51,64,21,7,38,5,1
42,56,19,7,37,6,1
84,112,20,33,57,10,2
64,90,19,31,34,10,1
54,79,18,15,50,7,1
33,37,17,5,30,4,0
28,16,17,9,48,4,0
46,13,16,10,41,4,0
62,103,40,19,33,11,2
60,102,41,23,34,14,2
58,81,40,16,19,6,1
24,55,41,10,18,8,1
56,89,40,21,21,12,1
28,53,39,9,25,9,1
37,69,41,10,20,9,1
57,101,46,13,37,18,2
68,125,45,16,37,22,2
57,91,42,12,42,15,1
55,98,44,12,38,18,1
57,85,41,16,22,17,1
52,78,41,15,20,11,1
36,68,41,8,19,12,1
52,83,42,17,31,16,1
50,75,41,14,37,16,1
49,79,24,13,20,21,1
43,75,26,14,20,28,1
53,88,25,25,16,42,1
53,91,27,21,17,39,1
35,62,33,6,19,10,1
55,92,34,17,18,33,1
65,117,31,17,28,32,2
58,96,35,10,33,16,1
56,89,32,9,22,17,1
37,62,24,6,17,9,1
